step,time,kinetic,potential,total,Px,Py,Pz,Lx,Ly,Lz
5600,28,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5620,28.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5640,28.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5660,28.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5680,28.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5700,28.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5720,28.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5740,28.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5760,28.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5780,28.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5800,29,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5820,29.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5840,29.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5860,29.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5880,29.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5900,29.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5920,29.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5940,29.7,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5960,29.8,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
5980,29.9,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6000,30,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6020,30.1,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6040,30.2,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6060,30.3,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6080,30.4,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6100,30.5,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6120,30.6,0.249999,-0.499999,-0.25,0,0,0,0.646508,-0.564642,0.513037
6140,30.7,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
6160,30.8,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
6180,30.9,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
6200,31,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
6220,31.1,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
6240,31.2,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
6260,31.3,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
6280,31.4,0.249998,-0.499998,-0.25,0,0,0,0.646508,-0.564642,0.513037
