step,time,id,x,y,vx,vy
4120,20.6,0,0.415997,-0.909368,0.643011,0.294148
4120,20.6,1,-0.415997,0.909368,-0.643011,-0.294148
4140,20.7,0,0.479205,-0.877705,0.620622,0.338842
4140,20.7,1,-0.479205,0.877705,-0.620622,-0.338842
4160,20.8,0,0.540018,-0.841656,0.595132,0.381843
4160,20.8,1,-0.540018,0.841656,-0.595132,-0.381843
4180,20.9,0,0.598132,-0.8014,0.566667,0.422935
4180,20.9,1,-0.598132,0.8014,-0.566667,-0.422935
4200,21,0,0.653257,-0.757139,0.53537,0.461914
4200,21,1,-0.653257,0.757139,-0.53537,-0.461914
4220,21.1,0,0.705117,-0.709094,0.501398,0.498583
4220,21.1,1,-0.705117,0.709094,-0.501398,-0.498583
4240,21.2,0,0.753453,-0.657506,0.464919,0.532762
4240,21.2,1,-0.753453,0.657506,-0.464919,-0.532762
4260,21.3,0,0.798024,-0.602631,0.426117,0.564277
4260,21.3,1,-0.798024,0.602631,-0.426117,-0.564277
4280,21.4,0,0.838606,-0.544744,0.385186,0.592973
4280,21.4,1,-0.838606,0.544744,-0.385186,-0.592973
4300,21.5,0,0.874997,-0.484135,0.342329,0.618704
4300,21.5,1,-0.874997,0.484135,-0.342329,-0.618704
4320,21.6,0,0.907015,-0.421106,0.297762,0.641344
4320,21.6,1,-0.907015,0.421106,-0.297762,-0.641344
4340,21.7,0,0.9345,-0.355972,0.251706,0.660779
4340,21.7,1,-0.9345,0.355972,-0.251706,-0.660779
4360,21.8,0,0.957314,-0.28906,0.204393,0.676911
4360,21.8,1,-0.957314,0.28906,-0.204393,-0.676911
4380,21.9,0,0.975344,-0.220703,0.156058,0.68966
4380,21.9,1,-0.975344,0.220703,-0.156058,-0.68966
4400,22,0,0.9885,-0.151243,0.106943,0.698962
4400,22,1,-0.9885,0.151243,-0.106943,-0.698962
4420,22.1,0,0.996715,-0.0810266,0.0572932,0.704771
4420,22.1,1,-0.996715,0.0810266,-0.0572932,-0.704771
4440,22.2,0,0.999949,-0.0104056,0.00735741,0.707057
4440,22.2,1,-0.999949,0.0104056,-0.00735741,-0.707057
4460,22.3,0,0.998185,0.0602674,-0.0426152,0.70581
4460,22.3,1,-0.998185,-0.0602674,0.0426152,-0.70581
4480,22.4,0,0.991433,0.130639,-0.0923748,0.701036
4480,22.4,1,-0.991433,-0.130639,0.0923748,-0.701036
4500,22.5,0,0.979726,0.200358,-0.141673,0.692758
4500,22.5,1,-0.979726,-0.200358,0.141673,-0.692758
